student_id,topic,difficulty,score,attempts,time_spent,next_topic,next_action,next_difficulty_adj
S000,Optimization,Beginner,41,2,51,Optimization,Revision,Same
S000,Optimization,Beginner,33,4,53,Optimization,Revision,Same
S000,Optimization,Beginner,38,2,7,Optimization,Revision,Same
S000,Optimization,Beginner,48,1,33,Optimization,Revision,Same
S000,Optimization,Beginner,33,1,45,Optimization,Revision,Same
S000,Optimization,Beginner,54,1,55,Optimization,Continue,Same
S000,Optimization,Beginner,41,4,13,Optimization,Revision,Same
S000,Optimization,Beginner,65,4,42,Optimization,Continue,Same
S000,Optimization,Beginner,58,4,13,Optimization,Continue,Same
S000,Optimization,Beginner,66,3,26,Optimization,Continue,Same
S000,Optimization,Beginner,78,1,25,Optimization,Continue,Same
S000,Optimization,Beginner,100,1,41,Optimization,Continue,Increase
S000,Optimization,Intermediate,85,1,41,Optimization,Continue,Increase
S000,Optimization,Advanced,62,4,54,Optimization,Continue,Same
S000,Optimization,Advanced,72,2,52,Optimization,Continue,Same
S000,Optimization,Advanced,41,4,24,Optimization,Revision,Decrease
S000,Optimization,Intermediate,64,3,19,Optimization,Continue,Same
S000,Optimization,Intermediate,53,4,17,Optimization,Continue,Same
S000,Optimization,Intermediate,95,3,43,Optimization,Continue,Increase
S000,Optimization,Advanced,42,2,43,Optimization,Revision,Decrease
S001,Optimization,Beginner,34,3,48,Optimization,Revision,Same
S001,Optimization,Beginner,17,4,8,Optimization,Revision,Same
S001,Optimization,Beginner,31,4,9,Optimization,Revision,Same
S001,Optimization,Beginner,42,3,57,Optimization,Revision,Same
S001,Optimization,Beginner,51,1,36,Optimization,Continue,Same
S001,Optimization,Beginner,59,4,33,Optimization,Continue,Same
S001,Optimization,Beginner,55,4,54,Optimization,Continue,Same
S001,Optimization,Beginner,77,2,53,Optimization,Continue,Same
S001,Optimization,Beginner,57,3,50,Optimization,Continue,Same
S001,Optimization,Beginner,94,3,28,Optimization,Continue,Increase
S001,Optimization,Intermediate,86,2,17,Optimization,Continue,Increase
S001,Optimization,Advanced,71,4,34,Optimization,Continue,Same
S001,Optimization,Advanced,54,2,6,Optimization,Continue,Same
S001,Optimization,Advanced,45,1,22,Optimization,Revision,Decrease
S001,Optimization,Intermediate,73,3,15,Optimization,Continue,Same
S001,Optimization,Intermediate,70,2,12,Optimization,Continue,Same
S001,Optimization,Intermediate,83,3,11,Optimization,Continue,Increase
S001,Optimization,Advanced,47,3,48,Optimization,Revision,Decrease
S001,Optimization,Intermediate,85,3,24,Optimization,Continue,Increase
S001,Optimization,Advanced,57,3,44,Optimization,Continue,Same
S002,Optimization,Beginner,52,4,7,Optimization,Continue,Same
S002,Optimization,Beginner,42,4,9,Optimization,Revision,Same
S002,Optimization,Beginner,29,3,57,Optimization,Revision,Same
S002,Optimization,Beginner,43,2,59,Optimization,Revision,Same
S002,Optimization,Beginner,67,2,57,Optimization,Continue,Same
S002,Optimization,Beginner,72,4,30,Optimization,Continue,Same
S002,Optimization,Beginner,46,1,44,Optimization,Revision,Same
S002,Optimization,Beginner,61,3,33,Optimization,Continue,Same
S002,Optimization,Beginner,72,2,10,Optimization,Continue,Same
S002,Optimization,Beginner,57,4,25,Optimization,Continue,Same
S002,Optimization,Beginner,100,2,42,Optimization,Continue,Increase
S002,Optimization,Intermediate,48,3,39,Optimization,Revision,Decrease
S002,Optimization,Beginner,99,2,56,Optimization,Continue,Increase
S002,Optimization,Intermediate,92,2,55,Optimization,Continue,Increase
S002,Optimization,Advanced,44,4,43,Optimization,Revision,Decrease
S002,Optimization,Intermediate,67,2,7,Optimization,Continue,Same
S002,Optimization,Intermediate,92,4,11,Optimization,Continue,Increase
S002,Optimization,Advanced,54,2,51,Optimization,Continue,Same
S002,Optimization,Advanced,46,4,35,Optimization,Revision,Decrease
S002,Optimization,Intermediate,59,1,54,Optimization,Continue,Same
S003,Optimization,Beginner,20,4,37,Optimization,Revision,Same
S003,Optimization,Beginner,38,2,42,Optimization,Revision,Same
S003,Optimization,Beginner,24,3,48,Optimization,Revision,Same
S003,Optimization,Beginner,51,2,51,Optimization,Continue,Same
S003,Optimization,Beginner,40,2,56,Optimization,Revision,Same
S003,Optimization,Beginner,86,2,44,Optimization,Continue,Increase
S003,Optimization,Intermediate,22,2,57,Optimization,Revision,Decrease
S003,Optimization,Beginner,54,2,5,Optimization,Continue,Same
S003,Optimization,Beginner,88,4,41,Optimization,Continue,Increase
